filename,emotion_recode2,added_manually,sample_weight
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1122756_565440_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1446090_763807_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1615298_873744_image.jpeg,Neutral,0,4
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1455690_770370_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/440862_230225_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1049213_554376_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/588803_321792_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1574808_847671_image.jpeg,Neutral,0,0.25
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/568991_307398_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1142257_577783_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/335777_179248_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1106857_561014_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/926104_479720_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1132480_572184_image.jpeg,Optimistic,0,2
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/710559_371213_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/715208_374274_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/934734_486233_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/852417_434257_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/484519_257285_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/449278_235715_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1264531_654048_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/799447_425883_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/933428_485355_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/322833_170422_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/715315_374397_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1619116_876532_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/535989_284862_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/719899_378122_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/970257_511007_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1560554_839615_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/488666_261084_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/311504_162099_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1121288_564805_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/510427_275550_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/327313_173623_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1367807_718619_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/860051_439491_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/897791_461593_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1446181_763888_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1038948_547293_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1534899_820388_image.jpeg,Neutral,0,1
