image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1001169_523480_image.jpeg,Hostile,0.9645,0.0044,0.0131,0.9645,0.018
Sample_Dataset/Reichel/images_with_faces/1001183_523496_image.jpeg,Neutral,0.9691,0.0202,0.0038,0.007,0.9691
Sample_Dataset/Reichel/images_with_faces/1001227_523515_image.jpeg,Neutral,0.8123,0.046,0.1078,0.0339,0.8123
Sample_Dataset/Reichel/images_with_faces/1001245_523536_image.jpeg,Optimistic,0.7182,0.7182,0.053,0.0237,0.205
Sample_Dataset/Reichel/images_with_faces/1001338_523635_image.jpeg,Optimistic,0.6191,0.6191,0.0989,0.0117,0.2703
Sample_Dataset/Reichel/images_with_faces/1001342_523639_image.jpeg,Neutral,0.6745,0.321,0.0031,0.0014,0.6745
Sample_Dataset/Reichel/images_with_faces/1001345_523642_image.jpeg,Neutral,0.6339,0.3626,0.0018,0.0017,0.6339
Sample_Dataset/Reichel/images_with_faces/1001359_523649_image.jpeg,Pessimistic,0.5406,0.0262,0.5406,0.0415,0.3917
Sample_Dataset/Reichel/images_with_faces/1001367_523658_image.jpeg,Neutral,0.7381,0.0976,0.0021,0.1623,0.7381
Sample_Dataset/Reichel/images_with_faces/1001370_523661_image.jpeg,Optimistic,0.8515,0.8515,0.0141,0.0346,0.0998
Sample_Dataset/Reichel/images_with_faces/1001371_523662_image.jpeg,Hostile,0.8822,0.0287,0.0076,0.8822,0.0815
Sample_Dataset/Reichel/images_with_faces/1001378_523670_image.jpeg,Neutral,0.4972,0.3944,0.0608,0.0475,0.4972
Sample_Dataset/Reichel/images_with_faces/1001432_523718_image.jpeg,Pessimistic,0.7719,0.0886,0.7719,0.0573,0.0822
Sample_Dataset/Reichel/images_with_faces/1001461_523743_image.jpeg,Optimistic,0.6675,0.6675,0.0022,0.0114,0.3188
Sample_Dataset/Reichel/images_with_faces/1001589_523828_image.jpeg,Neutral,0.5534,0.4041,0.0032,0.0393,0.5534
Sample_Dataset/Reichel/images_with_faces/1001616_523847_image.jpeg,Hostile,0.9237,0.026,0.0142,0.9237,0.0362
Sample_Dataset/Reichel/images_with_faces/1001673_523895_image.jpeg,Neutral,0.9178,0.0504,0.0016,0.0303,0.9178
Sample_Dataset/Reichel/images_with_faces/1001699_523901_image.jpeg,Hostile,0.8806,0.0186,0.0914,0.8806,0.0095
Sample_Dataset/Reichel/images_with_faces/1001809_523961_image.jpeg,Pessimistic,0.5446,0.1466,0.5446,0.0032,0.3056
Sample_Dataset/Reichel/images_with_faces/1002066_524089_image.jpeg,Optimistic,0.7083,0.7083,0.0406,0.1234,0.1277
Sample_Dataset/Reichel/images_with_faces/1002284_524212_image.jpeg,Hostile,0.4356,0.0393,0.2583,0.4356,0.2668
Sample_Dataset/Reichel/images_with_faces/1002425_524303_image.jpeg,Hostile,0.4588,0.0241,0.1853,0.4588,0.3318
Sample_Dataset/Reichel/images_with_faces/1002489_524346_image.jpeg,Optimistic,0.9578,0.9578,0.0203,0.0045,0.0174
Sample_Dataset/Reichel/images_with_faces/1002723_524511_image.jpeg,Optimistic,0.6348,0.6348,0.1322,0.0939,0.1391
