image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1001169_523480_image.jpeg,Hostile,0.995,0.0014,0.0,0.995,0.0036
Sample_Dataset/Reichel/images_with_faces/1001183_523496_image.jpeg,Neutral,0.6097,0.3888,0.0007,0.0007,0.6097
Sample_Dataset/Reichel/images_with_faces/1001227_523515_image.jpeg,Neutral,0.9531,0.0118,0.0121,0.023,0.9531
Sample_Dataset/Reichel/images_with_faces/1001245_523536_image.jpeg,Neutral,0.9595,0.02,0.0041,0.0165,0.9595
Sample_Dataset/Reichel/images_with_faces/1001338_523635_image.jpeg,Optimistic,0.9664,0.9664,0.0121,0.0045,0.017
Sample_Dataset/Reichel/images_with_faces/1001342_523639_image.jpeg,Optimistic,0.7891,0.7891,0.0016,0.0008,0.2086
Sample_Dataset/Reichel/images_with_faces/1001345_523642_image.jpeg,Optimistic,0.8492,0.8492,0.0027,0.0029,0.1452
Sample_Dataset/Reichel/images_with_faces/1001359_523649_image.jpeg,Pessimistic,0.5685,0.1096,0.5685,0.0679,0.2539
Sample_Dataset/Reichel/images_with_faces/1001367_523658_image.jpeg,Optimistic,0.4841,0.4841,0.0182,0.2154,0.2822
Sample_Dataset/Reichel/images_with_faces/1001370_523661_image.jpeg,Optimistic,0.9171,0.9171,0.0002,0.0015,0.0812
Sample_Dataset/Reichel/images_with_faces/1001371_523662_image.jpeg,Hostile,0.8463,0.1024,0.015,0.8463,0.0363
Sample_Dataset/Reichel/images_with_faces/1001378_523670_image.jpeg,Optimistic,0.7098,0.7098,0.0,0.0008,0.2894
Sample_Dataset/Reichel/images_with_faces/1001432_523718_image.jpeg,Pessimistic,0.9088,0.0028,0.9088,0.069,0.0195
Sample_Dataset/Reichel/images_with_faces/1001461_523743_image.jpeg,Optimistic,0.9672,0.9672,0.0002,0.0006,0.0321
Sample_Dataset/Reichel/images_with_faces/1001589_523828_image.jpeg,Neutral,0.5926,0.3491,0.0002,0.0581,0.5926
Sample_Dataset/Reichel/images_with_faces/1001616_523847_image.jpeg,Optimistic,0.802,0.802,0.0177,0.0631,0.1171
Sample_Dataset/Reichel/images_with_faces/1001673_523895_image.jpeg,Neutral,0.9629,0.0322,0.0005,0.0044,0.9629
Sample_Dataset/Reichel/images_with_faces/1001699_523901_image.jpeg,Pessimistic,0.5539,0.0034,0.5539,0.4303,0.0124
Sample_Dataset/Reichel/images_with_faces/1001809_523961_image.jpeg,Hostile,0.4193,0.0884,0.1107,0.4193,0.3816
Sample_Dataset/Reichel/images_with_faces/1002066_524089_image.jpeg,Hostile,0.5371,0.0572,0.0772,0.5371,0.3285
Sample_Dataset/Reichel/images_with_faces/1002284_524212_image.jpeg,Pessimistic,0.8485,0.0046,0.8485,0.1,0.0468
Sample_Dataset/Reichel/images_with_faces/1002425_524303_image.jpeg,Neutral,0.6064,0.1533,0.1513,0.089,0.6064
Sample_Dataset/Reichel/images_with_faces/1002489_524346_image.jpeg,Optimistic,0.9875,0.9875,0.0,0.0002,0.0123
Sample_Dataset/Reichel/images_with_faces/1002723_524511_image.jpeg,Optimistic,0.9481,0.9481,0.0048,0.001,0.0462
Sample_Dataset/Reichel/images_with_faces/1008141_528632_image.jpeg,Optimistic,0.852,0.852,0.0007,0.0013,0.146
Sample_Dataset/Reichel/images_with_faces/1008146_528635_image.jpeg,Optimistic,0.7908,0.7908,0.0009,0.0012,0.2071
Sample_Dataset/Reichel/images_with_faces/1008189_528678_image.jpeg,Optimistic,0.9568,0.9568,0.0,0.0,0.0431
Sample_Dataset/Reichel/images_with_faces/1008193_528680_image.jpeg,Optimistic,0.9764,0.9764,0.0,0.0,0.0235
Sample_Dataset/Reichel/images_with_faces/1008210_528698_image.jpeg,Optimistic,0.9879,0.9879,0.0005,0.0005,0.011
Sample_Dataset/Reichel/images_with_faces/1008255_528740_image.jpeg,Optimistic,0.5607,0.5607,0.0153,0.1898,0.2342
Sample_Dataset/Reichel/images_with_faces/1008260_528743_image.jpeg,Optimistic,0.6642,0.6642,0.0176,0.0982,0.22
Sample_Dataset/Reichel/images_with_faces/1008265_528748_image.jpeg,Neutral,0.9045,0.0933,0.0003,0.0019,0.9045
Sample_Dataset/Reichel/images_with_faces/1008266_528749_image.jpeg,Neutral,0.9227,0.0764,0.0002,0.0007,0.9227
